[2025-10-04 17:43:33,166] INFO django.server - "GET /admin/auth/group/ HTTP/1.1" 200 9037
[2025-10-04 17:43:33,202] INFO django.server - "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,209] INFO django.server - "GET /static/admin/js/core.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,212] INFO django.server - "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[2025-10-04 17:43:33,214] INFO django.server - "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,218] INFO django.server - "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,218] INFO django.server - "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,223] INFO django.server - "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,224] INFO django.server - "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,233] INFO django.server - "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,238] INFO django.server - "GET /static/admin/img/search.svg HTTP/1.1" 304 0
[2025-10-04 17:43:33,270] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-10-04 17:43:33,288] INFO django.server - "GET /static/admin/js/filters.js HTTP/1.1" 304 0
[2025-10-04 17:43:33,305] INFO django.server - "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[2025-10-04 17:43:34,673] INFO django.server - "GET /admin/auth/user/ HTTP/1.1" 200 12600
[2025-10-04 17:43:34,710] INFO django.server - "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[2025-10-04 17:43:34,736] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-10-04 17:43:34,805] INFO django.server - "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
[2025-10-04 17:43:34,814] INFO django.server - "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
[2025-10-04 17:43:36,053] INFO django.server - "GET /admin/core/maquina/ HTTP/1.1" 200 9694
[2025-10-04 17:43:36,122] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-10-04 17:43:36,820] INFO django.server - "GET /admin/core/produccion/ HTTP/1.1" 200 10216
[2025-10-04 17:43:36,878] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-10-04 17:43:37,488] INFO django.server - "GET /admin/auth/user/ HTTP/1.1" 200 12600
[2025-10-04 17:43:37,550] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-10-04 17:43:38,443] INFO django.server - "GET /admin/auth/user/1/change/ HTTP/1.1" 200 23287
[2025-10-04 17:43:38,477] INFO django.server - "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[2025-10-04 17:43:38,477] INFO django.server - "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
[2025-10-04 17:43:38,477] INFO django.server - "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
[2025-10-04 17:43:38,485] INFO django.server - "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[2025-10-04 17:43:38,491] INFO django.server - "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[2025-10-04 17:43:38,497] INFO django.server - "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[2025-10-04 17:43:38,500] INFO django.server - "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[2025-10-04 17:43:38,512] INFO django.server - "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[2025-10-04 17:43:38,518] INFO django.server - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-10-04 17:43:38,570] INFO django.server - "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
[2025-10-04 17:43:38,570] INFO django.server - "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
[2025-10-04 17:43:38,573] INFO django.server - "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
